"set" "map" "mkr" "phys" "gen"
"Hordeum vulgare" "chr1H" "12_30592" 330391776 45.2
"Hordeum vulgare" "chr1H" "12_10938" 330397005 44.59
"Hordeum vulgare" "chr1H" "11_11484" 331509236 44.17
"Hordeum vulgare" "chr1H" "12_11209" 332377688 44.59
"Hordeum vulgare" "chr1H" "12_31272" 333666386 45.2
"Hordeum vulgare" "chr1H" "11_21357" 334264572 44.59
"Hordeum vulgare" "chr1H" "12_30059" 335855799 45.2
"Hordeum vulgare" "chr1H" "11_21312" 336957309 45.2
"Hordeum vulgare" "chr1H" "11_10075" 336960702 45.2
"Hordeum vulgare" "chr1H" "12_31134" 338484721 45.2
"Hordeum vulgare" "chr1H" "12_11169" 342481768 45.2
"Hordeum vulgare" "chr1H" "11_21000" 343181278 45.85
"Hordeum vulgare" "chr1H" "11_20810" 345013348 46.5
"Hordeum vulgare" "chr1H" "11_20912" 345562854 46.5
"Hordeum vulgare" "chr1H" "12_30350" 349256585 45.2
"Hordeum vulgare" "chr1H" "12_30522" 350849371 47.21
"Hordeum vulgare" "chr1H" "12_11107" 354731101 47.21
"Hordeum vulgare" "chr1H" "12_30110" 355046943 45.2
"Hordeum vulgare" "chr1H" "12_30694" 355260035 45.2
"Hordeum vulgare" "chr1H" "11_20798" 355935029 48.99
"Hordeum vulgare" "chr1H" "12_30406" 356414028 45.2
"Hordeum vulgare" "chr1H" "11_10520" 356521588 45.2
"Hordeum vulgare" "chr1H" "11_11359" 357721697 48.29
"Hordeum vulgare" "chr1H" "11_21217" 359139916 48.29
"Hordeum vulgare" "chr1H" "11_11326" 359268406 48.99
"Hordeum vulgare" "chr1H" "12_30786" 359808648 47.21
"Hordeum vulgare" "chr1H" "12_30750" 360346443 45.2
"Hordeum vulgare" "chr1H" "12_30499" 360740937 45.2
"Hordeum vulgare" "chr1H" "12_30478" 360742437 45.2
"Hordeum vulgare" "chr1H" "11_10933" 360817497 45.2
"Hordeum vulgare" "chr1H" "12_30243" 367942687 48.99
"Hordeum vulgare" "chr1H" "11_11256" 369172185 49.65
"Hordeum vulgare" "chr1H" "12_30348" 370993763 51.2
"Hordeum vulgare" "chr1H" "12_30710" 372381383 49.65
"Hordeum vulgare" "chr1H" "11_10324" 374767653 50.54
"Hordeum vulgare" "chr1H" "12_10198" 378523084 51.2
"Hordeum vulgare" "chr1H" "12_30343" 379417623 51.91
"Hordeum vulgare" "chr1H" "11_21053" 380729802 51.91
"Hordeum vulgare" "chr1H" "11_10768" 383482448 52.63
"Hordeum vulgare" "chr1H" "11_21333" 383914405 52.63
"Hordeum vulgare" "chr1H" "12_11444" 386095373 54.54
"Hordeum vulgare" "chr1H" "11_20997" 394205255 53.4
"Hordeum vulgare" "chr1H" "12_30821" 394651502 54.54
"Hordeum vulgare" "chr1H" "11_10552" 394985413 54.54
"Hordeum vulgare" "chr1H" "11_10176" 396004558 58.59
"Hordeum vulgare" "chr1H" "12_30753" 402710341 58.59
"Hordeum vulgare" "chr1H" "12_10201" 403048253 58.59
"Hordeum vulgare" "chr1H" "11_20095" 404315544 58.59
"Hordeum vulgare" "chr1H" "11_10617" 408764804 59.29
"Hordeum vulgare" "chr1H" "11_10798" 409060255 59.29
"Hordeum vulgare" "chr1H" "11_11049" 409320003 59.29
"Hordeum vulgare" "chr1H" "12_30304" 411240516 59.29
"Hordeum vulgare" "chr1H" "12_30744" 411292681 59.29
"Hordeum vulgare" "chr1H" "12_21131" 416329391 59.99
"Hordeum vulgare" "chr1H" "11_10302" 419473003 60.65
"Hordeum vulgare" "chr1H" "12_31179" 421340271 61.39
"Hordeum vulgare" "chr1H" "11_20432" 423208887 62.05
"Hordeum vulgare" "chr1H" "11_21431" 424304262 62.6
"Hordeum vulgare" "chr1H" "11_10516" 427311881 63.14
"Hordeum vulgare" "chr1H" "11_10043" 427509787 63.74
"Hordeum vulgare" "chr1H" "11_10002" 428742439 64.44
"Hordeum vulgare" "chr1H" "11_21219" 428966513 64.44
"Hordeum vulgare" "chr1H" "12_31464" 429145153 64.44
"Hordeum vulgare" "chr1H" "11_11367" 431354323 64.44
"Hordeum vulgare" "chr1H" "12_11062" 431488062 64.44
"Hordeum vulgare" "chr1H" "12_30295" 435827240 69.08
"Hordeum vulgare" "chr1H" "11_20157" 436793794 71.81
"Hordeum vulgare" "chr1H" "12_10166" 437092173 71.81
"Hordeum vulgare" "chr1H" "12_20696" 438151706 72.47
"Hordeum vulgare" "chr1H" "12_30298" 438323533 73.13
"Hordeum vulgare" "chr1H" "11_20290" 438820193 71.81
"Hordeum vulgare" "chr1H" "12_30505" 439771264 73.78
"Hordeum vulgare" "chr1H" "12_30742" 441669561 74.81
"Hordeum vulgare" "chr1H" "11_20229" 441778387 74.81
"Hordeum vulgare" "chr1H" "11_10686" 444191420 77.92
"Hordeum vulgare" "chr1H" "11_21057" 445857480 74.81
"Hordeum vulgare" "chr1H" "12_21176" 446272059 75.48
"Hordeum vulgare" "chr1H" "11_21126" 447208298 78.58
"Hordeum vulgare" "chr1H" "11_10006" 447790659 76.92
"Hordeum vulgare" "chr1H" "12_11267" 448752249 76.22
"Hordeum vulgare" "chr1H" "11_10279" 449209372 77.57
"Hordeum vulgare" "chr1H" "11_10890" 449503941 76.92
"Hordeum vulgare" "chr1H" "11_20121" 449698802 80.47
"Hordeum vulgare" "chr1H" "11_20990" 449731695 80.47
"Hordeum vulgare" "chr1H" "11_20657" 451745376 82.09
"Hordeum vulgare" "chr1H" "12_11463" 460792729 88.88
"Hordeum vulgare" "chr1H" "11_10471" 462203738 89.77
"Hordeum vulgare" "chr1H" "11_20434" 463029238 89.77
"Hordeum vulgare" "chr1H" "12_11144" 463435685 89.77
"Hordeum vulgare" "chr1H" "12_31160" 463831897 74.81
"Hordeum vulgare" "chr1H" "11_20550" 464061649 90.31
"Hordeum vulgare" "chr1H" "11_20792" 468612715 92.43
"Hordeum vulgare" "chr1H" "12_10535" 469334770 91.73
"Hordeum vulgare" "chr1H" "11_20769" 472106202 92.43
"Hordeum vulgare" "chr1H" "11_21446" 472680772 93.48
"Hordeum vulgare" "chr1H" "12_30546" 472681510 94.15
"Hordeum vulgare" "chr1H" "11_20475" 472795237 93.48
"Hordeum vulgare" "chr1H" "11_10433" 472883278 95.14
"Hordeum vulgare" "chr1H" "11_21373" 473633633 96.95
"Hordeum vulgare" "chr1H" "12_11008" 473710322 96.95
"Hordeum vulgare" "chr1H" "11_20149" 473712837 98.68
"Hordeum vulgare" "chr1H" "12_31163" 474076580 95.14
"Hordeum vulgare" "chr1H" "11_10396" 475641043 98.68
"Hordeum vulgare" "chr1H" "12_31192" 475931635 98.68
"Hordeum vulgare" "chr1H" "11_11277" 476667096 100.4
"Hordeum vulgare" "chr1H" "12_31319" 476948619 100.4
"Hordeum vulgare" "chr1H" "11_10522" 479245578 101.34
"Hordeum vulgare" "chr1H" "11_20754" 479336608 101.99
"Hordeum vulgare" "chr1H" "11_20169" 479462193 101.99
"Hordeum vulgare" "chr1H" "11_20125" 479618057 105.77
"Hordeum vulgare" "chr1H" "11_20153" 479776211 105.77
"Hordeum vulgare" "chr1H" "12_11173" 480489593 103.99
"Hordeum vulgare" "chr1H" "11_10357" 480737388 103.99
"Hordeum vulgare" "chr1H" "12_21020" 482280069 105.77
"Hordeum vulgare" "chr1H" "12_31152" 482914151 105.77
"Hordeum vulgare" "chr1H" "11_10111" 483014157 105.77
"Hordeum vulgare" "chr1H" "12_20187" 483014763 105.77
"Hordeum vulgare" "chr1H" "12_20613" 483022266 105.77
"Hordeum vulgare" "chr1H" "11_20909" 483374936 105.77
"Hordeum vulgare" "chr1H" "11_20267" 483376907 105.77
"Hordeum vulgare" "chr1H" "12_30191" 485117907 107.77
"Hordeum vulgare" "chr1H" "11_20780" 485161858 108.52
"Hordeum vulgare" "chr1H" "12_30509" 485523080 107.09
"Hordeum vulgare" "chr1H" "11_20921" 485529779 109.38
"Hordeum vulgare" "chr1H" "11_20625" 486302968 110.08
"Hordeum vulgare" "chr1H" "12_30532" 486477487 105.77
"Hordeum vulgare" "chr1H" "11_20220" 487809656 111.15
"Hordeum vulgare" "chr1H" "11_20844" 487927319 111.81
"Hordeum vulgare" "chr1H" "11_20021" 489000260 111.81
"Hordeum vulgare" "chr1H" "11_10789" 490186008 114.06
"Hordeum vulgare" "chr1H" "12_31526" 490294379 115.09
"Hordeum vulgare" "chr1H" "11_21392" 490400206 114.06
"Hordeum vulgare" "chr1H" "12_30014" 491754085 114.72
"Hordeum vulgare" "chr1H" "12_10905" 491971350 116.16
"Hordeum vulgare" "chr1H" "12_11409" 492718326 117.24
"Hordeum vulgare" "chr1H" "11_10338" 494580293 118.98
"Hordeum vulgare" "chr1H" "11_20959" 494870344 119.78
"Hordeum vulgare" "chr1H" "11_10854" 495102962 119.78
"Hordeum vulgare" "chr1H" "12_30257" 495442917 119.78
"Hordeum vulgare" "chr1H" "11_10911" 497211285 121.8
"Hordeum vulgare" "chr1H" "12_21172" 497748561 121.56
"Hordeum vulgare" "chr1H" "11_20908" 497803587 122.34
"Hordeum vulgare" "chr1H" "11_11528" 497831641 122.34
"Hordeum vulgare" "chr1H" "11_21038" 498241181 122.34
"Hordeum vulgare" "chr1H" "12_31105" 498388500 123.1
"Hordeum vulgare" "chr1H" "11_10586" 499088936 123.1
"Hordeum vulgare" "chr1H" "12_11457" 499284959 123.81
"Hordeum vulgare" "chr1H" "12_11443" 499370324 125.29
"Hordeum vulgare" "chr1H" "11_10722" 500058536 126.61
"Hordeum vulgare" "chr1H" "11_21140" 500276228 127.26
"Hordeum vulgare" "chr1H" "12_31377" 500459029 128.04
"Hordeum vulgare" "chr1H" "11_21068" 500741133 128.04
"Hordeum vulgare" "chr1H" "12_10207" 500954130 128.04
"Hordeum vulgare" "chr1H" "11_11481" 500954223 128.04
"Hordeum vulgare" "chr1H" "11_10644" 501207915 128.63
"Hordeum vulgare" "chr1H" "11_20133" 501999593 132.16
"Hordeum vulgare" "chr1H" "12_10808" 502615792 129.71
"Hordeum vulgare" "chr1H" "12_31387" 502630699 129.71
"Hordeum vulgare" "chr1H" "12_30649" 503322442 132.16
"Hordeum vulgare" "chr1H" "12_10693" 503429839 130.42
"Hordeum vulgare" "chr1H" "11_11038" 504243495 132.16
"Hordeum vulgare" "chr1H" "11_10903" 504905467 133.47
"Hordeum vulgare" "chr1H" "11_20383" 506553278 134.96
"Hordeum vulgare" "chr1H" "11_10782" 507384261 135.62
"Hordeum vulgare" "chr1H" "12_21105" 508265774 137.78
"Hordeum vulgare" "chr1H" "11_21384" 510018728 138.86
"Hordeum vulgare" "chr1H" "11_11105" 510264767 138.86
"Hordeum vulgare" "chr1H" "12_11496" 510492240 138.86
"Hordeum vulgare" "chr1H" "12_30277" 511117968 138.86
"Hordeum vulgare" "chr1H" "11_10041" 511553468 138.86
"Hordeum vulgare" "chr1H" "12_20599" 512239944 138.86
"Hordeum vulgare" "chr1H" "11_11509" 512622242 138.86
"Hordeum vulgare" "chr1H" "11_20594" 512906514 139.6
"Hordeum vulgare" "chr1H" "11_20138" 513098986 140.69
"Hordeum vulgare" "chr1H" "11_20840" 513695597 140.69
"Hordeum vulgare" "chr1H" "11_20915" 513773000 141.46
"Hordeum vulgare" "chr1H" "11_10590" 513828384 141.46
"Hordeum vulgare" "chr1H" "12_10746" 514448204 141.46
"Hordeum vulgare" "chr1H" "12_30231" 514705166 141.46
"Hordeum vulgare" "chr1H" "11_20772" 515295650 142.55
"Hordeum vulgare" "chr1H" "12_20429" 515607900 143.2
"Hordeum vulgare" "chr1H" "12_31081" 515749137 143.2
"Hordeum vulgare" "chr1H" "11_10443" 515984639 143.2
"Hordeum vulgare" "chr1H" "12_30934" 516073191 143.2
"Hordeum vulgare" "chr2H" "12_31446" 1756167 0.66
"Hordeum vulgare" "chr2H" "11_10326" 2601633 4.72
"Hordeum vulgare" "chr2H" "12_10718" 4437160 3.1
"Hordeum vulgare" "chr2H" "12_21415" 5090216 3.84
"Hordeum vulgare" "chr2H" "12_11030" 6177568 6.09
"Hordeum vulgare" "chr2H" "11_11059" 9418304 7.92
"Hordeum vulgare" "chr2H" "12_10230" 9544875 7.92
"Hordeum vulgare" "chr2H" "11_21377" 10564447 9.12
"Hordeum vulgare" "chr2H" "12_30781" 10635464 9.12
"Hordeum vulgare" "chr2H" "12_10592" 10972474 9.12
"Hordeum vulgare" "chr2H" "11_20563" 11373143 10.07
"Hordeum vulgare" "chr2H" "12_31497" 11907656 10.86
"Hordeum vulgare" "chr2H" "11_20562" 11993460 10.86
"Hordeum vulgare" "chr2H" "12_10502" 12229016 10.86
"Hordeum vulgare" "chr2H" "12_30155" 14683260 10.86
"Hordeum vulgare" "chr2H" "12_30775" 15689620 10.86
"Hordeum vulgare" "chr2H" "12_30631" 16686892 12.07
"Hordeum vulgare" "chr2H" "11_20107" 17910292 14.42
"Hordeum vulgare" "chr2H" "11_20724" 17979150 14.98
"Hordeum vulgare" "chr2H" "11_10943" 19251558 17.24
"Hordeum vulgare" "chr2H" "12_31284" 19974236 15.98
"Hordeum vulgare" "chr2H" "11_10180" 23764276 20.45
"Hordeum vulgare" "chr2H" "12_10777" 23770843 20.45
"Hordeum vulgare" "chr2H" "12_30871" 25877164 25.33
"Hordeum vulgare" "chr2H" "12_30872" 25879588 25.33
"Hordeum vulgare" "chr2H" "11_21015" 27984766 26
"Hordeum vulgare" "chr2H" "11_20394" 28086868 26.63
"Hordeum vulgare" "chr2H" "11_10216" 28546287 26.63
"Hordeum vulgare" "chr2H" "11_21366" 30044023 27.5
"Hordeum vulgare" "chr2H" "11_21261" 30352057 27.5
"Hordeum vulgare" "chr2H" "11_21265" 30468850 27.5
"Hordeum vulgare" "chr2H" "11_21187" 31251982 28.15
"Hordeum vulgare" "chr2H" "12_20593" 31547250 29.05
"Hordeum vulgare" "chr2H" "11_10891" 31811486 29.75
"Hordeum vulgare" "chr2H" "12_20368" 33034925 30.42
"Hordeum vulgare" "chr2H" "11_10307" 33035662 30.42
"Hordeum vulgare" "chr2H" "11_10787" 33390749 31.91
"Hordeum vulgare" "chr2H" "11_10987" 33607495 31.91
"Hordeum vulgare" "chr2H" "12_21049" 33609746 31.17
"Hordeum vulgare" "chr2H" "11_20864" 33688850 32.35
"Hordeum vulgare" "chr2H" "12_11452" 36474746 33.82
"Hordeum vulgare" "chr2H" "11_21304" 36475974 34.24
"Hordeum vulgare" "chr2H" "12_10847" 37534650 34.24
"Hordeum vulgare" "chr2H" "11_20173" 41432970 37.77
"Hordeum vulgare" "chr2H" "12_21461" 41497235 40.03
"Hordeum vulgare" "chr2H" "11_10178" 42417087 40.03
"Hordeum vulgare" "chr2H" "11_10525" 43264415 38.86
"Hordeum vulgare" "chr2H" "11_11073" 43624235 39.37
"Hordeum vulgare" "chr2H" "12_30420" 43706704 40.69
"Hordeum vulgare" "chr2H" "11_10399" 43858017 40.03
"Hordeum vulgare" "chr2H" "12_30657" 44084206 42.01
"Hordeum vulgare" "chr2H" "12_10296" 44312608 42.01
"Hordeum vulgare" "chr2H" "11_10837" 44837667 42.01
"Hordeum vulgare" "chr2H" "11_10919" 45010188 42.01
"Hordeum vulgare" "chr2H" "11_10648" 45550466 42.78
"Hordeum vulgare" "chr2H" "11_21153" 46306155 43.38
"Hordeum vulgare" "chr2H" "12_20326" 46947830 42.01
"Hordeum vulgare" "chr2H" "12_30432" 47033452 44.04
"Hordeum vulgare" "chr2H" "11_10342" 49020115 44.82
"Hordeum vulgare" "chr2H" "11_21338" 49783308 45.48
"Hordeum vulgare" "chr2H" "12_10715" 52626797 47.48
"Hordeum vulgare" "chr2H" "12_30379" 53653195 48.8
"Hordeum vulgare" "chr2H" "12_30029" 54275140 48.8
"Hordeum vulgare" "chr2H" "12_30491" 55614042 49.5
"Hordeum vulgare" "chr2H" "12_10486" 55941025 49.5
"Hordeum vulgare" "chr2H" "12_20281" 56835307 50.54
"Hordeum vulgare" "chr2H" "12_11340" 57800290 50.54
"Hordeum vulgare" "chr2H" "11_11061" 59277212 50.99
"Hordeum vulgare" "chr2H" "12_30703" 59969672 50.99
"Hordeum vulgare" "chr2H" "11_11505" 62550663 51.87
"Hordeum vulgare" "chr2H" "12_31169" 67616651 51.37
"Hordeum vulgare" "chr2H" "11_10498" 69652468 53.09
"Hordeum vulgare" "chr2H" "11_10297" 70464925 53.09
"Hordeum vulgare" "chr2H" "12_10156" 70506563 54.27
"Hordeum vulgare" "chr2H" "12_11428" 72205502 54.27
"Hordeum vulgare" "chr2H" "11_21005" 73598142 54.92
"Hordeum vulgare" "chr2H" "12_20688" 74870835 55.46
"Hordeum vulgare" "chr2H" "11_10234" 76406754 54.27
"Hordeum vulgare" "chr2H" "11_11054" 77830338 53.18
"Hordeum vulgare" "chr2H" "11_20674" 78530603 55.46
"Hordeum vulgare" "chr2H" "11_21096" 79967854 56.64
"Hordeum vulgare" "chr2H" "11_20929" 80233761 56.43
"Hordeum vulgare" "chr2H" "11_10422" 80664825 56.64
"Hordeum vulgare" "chr2H" "11_11302" 81350002 56.64
"Hordeum vulgare" "chr2H" "12_11131" 82360763 57.29
"Hordeum vulgare" "chr2H" "11_10638" 85127400 57.29
"Hordeum vulgare" "chr2H" "11_10733" 90956468 56.64
"Hordeum vulgare" "chr2H" "12_30259" 91565435 56.64
"Hordeum vulgare" "chr2H" "11_10325" 91734048 56.64
"Hordeum vulgare" "chr2H" "11_21388" 93323150 57.29
"Hordeum vulgare" "chr2H" "11_11400" 93326478 58.5
"Hordeum vulgare" "chr2H" "12_31474" 93370438 58.5
"Hordeum vulgare" "chr2H" "12_30338" 96071727 60.89
"Hordeum vulgare" "chr2H" "11_11015" 97733883 60.89
"Hordeum vulgare" "chr2H" "11_20131" 97843955 54.27
"Hordeum vulgare" "chr2H" "11_20387" 100696635 59.58
"Hordeum vulgare" "chr2H" "11_10996" 101513441 58.5
"Hordeum vulgare" "chr2H" "12_11272" 101590157 60.89
"Hordeum vulgare" "chr2H" "11_10147" 102490001 60.89
"Hordeum vulgare" "chr2H" "12_20235" 103163275 61.49
"Hordeum vulgare" "chr2H" "11_20602" 103422643 60.89
"Hordeum vulgare" "chr2H" "12_10927" 104052829 61.49
"Hordeum vulgare" "chr2H" "12_31288" 105153629 63.55
"Hordeum vulgare" "chr2H" "11_20891" 106887930 61.49
"Hordeum vulgare" "chr2H" "12_30251" 108710554 61.49
"Hordeum vulgare" "chr2H" "12_20917" 111610648 61.49
"Hordeum vulgare" "chr2H" "11_10997" 112394266 62.85
"Hordeum vulgare" "chr2H" "11_20476" 115334917 67.08
"Hordeum vulgare" "chr2H" "12_30209" 124083766 62.19
"Hordeum vulgare" "chr2H" "12_10558" 126532998 62.85
"Hordeum vulgare" "chr2H" "12_30557" 134528495 62.85
"Hordeum vulgare" "chr2H" "11_10679" 140287328 66.2
"Hordeum vulgare" "chr2H" "12_10485" 154111044 63.55
"Hordeum vulgare" "chr2H" "12_10330" 154488197 63.55
"Hordeum vulgare" "chr2H" "11_20500" 155694382 63.55
"Hordeum vulgare" "chr2H" "12_10948" 155856060 63.55
"Hordeum vulgare" "chr2H" "11_11133" 156697527 63.55
"Hordeum vulgare" "chr2H" "11_10796" 162520099 63.55
"Hordeum vulgare" "chr2H" "12_30634" 167028173 65.53
"Hordeum vulgare" "chr2H" "11_10602" 167408051 63.55
"Hordeum vulgare" "chr2H" "12_30853" 170177560 66.2
"Hordeum vulgare" "chr2H" "12_20181" 171774654 66.2
"Hordeum vulgare" "chr2H" "11_10070" 171776623 66.2
"Hordeum vulgare" "chr2H" "11_11046" 174526743 66.2
"Hordeum vulgare" "chr2H" "12_30772" 176645286 66.2
"Hordeum vulgare" "chr2H" "11_21286" 178635743 66.2
"Hordeum vulgare" "chr2H" "12_30828" 187160253 67.08
"Hordeum vulgare" "chr2H" "11_10012" 187160437 67.08
"Hordeum vulgare" "chr2H" "11_10624" 193496253 67.08
"Hordeum vulgare" "chr2H" "11_20039" 201406208 67.63
"Hordeum vulgare" "chr2H" "12_10474" 203647022 67.63
"Hordeum vulgare" "chr2H" "11_20458" 205913908 68.07
"Hordeum vulgare" "chr2H" "11_20160" 211178456 68.07
"Hordeum vulgare" "chr2H" "11_11354" 213286493 68.07
"Hordeum vulgare" "chr2H" "12_30042" 216175760 67.08
"Hordeum vulgare" "chr2H" "12_10099" 217262606 68.07
"Hordeum vulgare" "chr2H" "11_20417" 218842770 68.07
"Hordeum vulgare" "chr2H" "11_10947" 229342436 67.08
"Hordeum vulgare" "chr2H" "12_30179" 236098377 68.07
"Hordeum vulgare" "chr2H" "12_30582" 253833203 68.07
"Hordeum vulgare" "chr2H" "12_20878" 253855833 67.08
"Hordeum vulgare" "chr2H" "12_31175" 276976488 68.07
"Hordeum vulgare" "chr2H" "12_21337" 278051209 67.08
"Hordeum vulgare" "chr2H" "12_30561" 308907425 68.07
"Hordeum vulgare" "chr2H" "12_31218" 329318413 67.08
"Hordeum vulgare" "chr2H" "11_11178" 329346442 68.07
"Hordeum vulgare" "chr2H" "12_30206" 332519235 67.08
"Hordeum vulgare" "chr2H" "11_10317" 337729686 68.56
"Hordeum vulgare" "chr2H" "12_31189" 342968173 67.08
"Hordeum vulgare" "chr2H" "11_11211" 346735328 67.08
"Hordeum vulgare" "chr2H" "11_20669" 358790543 68.56
"Hordeum vulgare" "chr2H" "11_20032" 359516223 68.07
"Hordeum vulgare" "chr2H" "12_20196" 377049889 67.08
"Hordeum vulgare" "chr2H" "12_11288" 377689368 67.08
"Hordeum vulgare" "chr2H" "12_30068" 378632948 67.08
"Hordeum vulgare" "chr2H" "11_20631" 393260668 67.08
"Hordeum vulgare" "chr2H" "12_10035" 408286040 69.05
"Hordeum vulgare" "chr2H" "12_11369" 410378802 69.05
